,Palabra clave,Texto editado,Es Eufemistico,Categoria,Fuente,Fuente de Origen (Bibliografia),Pais,Observations
523,Hombre libre,"De lo contrario, permaneceremos en la infancia cognoscitiva, en un estado de alienación, explotados por individuos poco escrupulosos. Una sociedad que condena la libertad de sus miembros se condena a sí misma, porque se priva de la creatividad. La ciencia y la tecnología son fruto del “hombre libre”, la justicia y la paz, así como las democracias reales.",0,Ciencias Sociales,REA (Corpes Siglo XXI),"Mbana, Joaquín: Brujería fang en Guinea Ecuatorial (El Mbwo). Madrid: Sial Ediciones, 2004",Guinea Ecuatorial,
524,Hombre libre,"Superarán otros hombres este momento gris y amargo, donde la traición pretende imponerse. Sigan ustedes sabiendo que, mucho más temprano que tarde, de nuevo se abrirán las grandes alamedas por donde pase el “hombre libre”, para construir una sociedad mejor. ¡Viva Chile! ¡Viva el pueblo! ¡Vivan los trabajadores! Éstas son mis últimas palabras y tengo la certeza de que mi sacrificio no será en vano. ",0,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Verdugo, Patricia: La Casa Blanca contra Salvador Allende. Los orígenes de la guerra preventiva. Madrid: Tabla Rasa Libros y Ediciones, S.L., 2004",Chile,
525,Hombre libre,"Germinal encontró la escoba y el trapeador donde le indicó el empleador que miró la lágrima dibujada con curiosidad, pensando que era una mancha en la piel. Este nuevo trabajo no era muy diferente a los que había realizado en sus primeros meses de libertad. Era un “hombre libre” pero pobre, sin familia ni bienes. Lavó carros, limpió baños, cargó bloques para poder sobrevivir y realizar sus pesquisas. Logró que hacer un retrato hablado del asesino y peinó la ciudad y el país buscando al asesino de su amigo, al responsable de sus mil días de prisión injusta.",0,Relato,REA (Corpes Siglo XXI),"Leis Romero, Raúl Alberto: «La piel de las luciérnagas». Leis Romero, Raúl: Remedio para la congoja. Cuentos de la calle. Panamá: Universal Books, 2005",Panama,
526,Hombre libre,"¿Cómo esas dos personalidades tan distintas llegaron a formar parte de usted? (A la derecha. Pausa. Piensa. Se entusiasma al hablar) Hace algunos años era un “hombre libre”. Era joven, estaba lleno de vida. Vivía en la periferia, con los locos y los delirantes, con los utópicos, con los soñadores. Creíamos en el delirio como forma de vida. Mientras vivíamos en los alrededores de la sociedad nadie sabía de nuestra existencia. ",0,Teatro,REA (Corpes Siglo XXI),"Dell'Aqua, Álvaro: Pabellón. www.dramaturgiauruguaya.gub.uy: dramaturgiauruguaya.gub.uy, 2012-10-22",Uruguay,
527,Hombre libre,"Sinceramente pienso que todo el mundo debiera escribir poesía. Modo de vida que lo mantendrá a 'salvo' del daño y podrá ser un “hombre libre”, en la medida que vaya adquiriendo los instrumentos para ""modelar"" su imaginación, para encauzar su enfermedad, que es lo normal que hay en estos nuevos mundos, donde lo siento convocado. Sentir mental hacia dimensiones a las que está llamado naturalmente.",0,Ciencias Sociales,REA (Corpes Siglo XXI),"Otero, Mauricio: «Ser, locura, libertad y tiempo». Escáner Cultural. Santiago de Chile: revista.escaner.cl, 2004-03",Chile,
528,Hombre libre,"En ese sentido, de la misma manera que existe la obligación moral y de “hombre libre” de conocer en forma personal lo que dice la ley; de leerla directamente y de no permitir que otros actúen como intérpretes ordenando lo que hay que hacer y haciendo incidir cuestiones políticas que están al margen de la cuestión, existe también la otra obligación ciudadana de votar, siendo de acuerdo a esa doble responsabilidad que todos los habilitados deben comportarse.",0,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"«Votar es obligatorio». El País. Montevideo: historico.elpais.com.uy/03/11/24/predit_68441.asp, 2003-11-24",Uruguay,
529,Hombre libre,"A media tarde no estaba segura del momento en que habíamos llegado a Bangkok. Fueron 20 horas de vuelo desde el Caribe puertorriqueño. Pero ver despertar Bangkok -capital del país cuyo nombre significa tierra del “hombre libre”- era un privilegio. En el sur de esta nación han muerto unas 5,300 personas y hoy partimos a Phuket, una de las zonas más devastadas por los tsunamis que han cobrado la vida de sobre 150,000 personas, sin importar etnia ni gentilicio, en varias regiones de Asia y Africa.",0,Ciencias Sociales,REA (Corpes Siglo XXI),"Ferraiuoli Suárez, Bibiana: «Peldaño a peldaño se construyen puentes». El Nuevo Día. San Juan: elnuevodia.com, 2005-01-13",Puerto Rico,
530,Hombre libre,"Un estilo de comedia que va indisolublemente unido a su personalidad, la de un “hombre libre” e independiente que brilló no sólo como autor, actor, compositor y cantante, también como un hombre ""singular"" habitual e imprescindible en los círculos mundanos de su época, interpretando en ese ambiente el personaje que él mismo se había diseñado.",0,Arte y Cultura,REA (Corpes Siglo XXI),"«El estilo Coward por José María Pou». El Cultural. Madrid: Unidad Editorial, 2003-02-17",España,
531,Hombre libre,"Allí mismo, de pie en la desangelada sala, brindamos por Isabel. Rachid, para mi alivio, decidió que ya era hora de volver a Tánger. Ahmid lo haría con nosotros, una vez neutralizados los perseguidores. Parecía ser un “hombre libre” a partir de ese momento. Libre, salvo de sí mismo, pensé, porque pronto estaría sumido en algún nuevo problema de primera magnitud, que es el sino de los supervivientes.",0,Novela,REA (Corpes Siglo XXI),"M. Reverte, Jorge: Gálvez en la frontera. Madrid: Santillana, 2001",España,
532,Hombre libre,"Describe allí su infancia y adolescencia, en donde recibe una sólida formación humanística. Habla ""del humanismo militante con profundo contenido social en defensa de la libertad y la justicia"". Dice que la educación estará permanentemente centrada en la búsqueda del “hombre libre"" abierto a los cuatro vientos del espíritu. Y al evocar a Henríquez Ureña -no sin antes señalar ""que el goce de la libertad individual conlleva un compromiso social en procura de un ideal, una utopía""- señala aquella frase del educador",0,Ciencias Sociales,REA (Corpes Siglo XXI),"Penelas, Carlos: Diario interior de René Favaloro. Buenos Aires: Editorial Sudamericana, 2003",Argentina,
533,Hombre libre,"""Hace un año estaba en Ferrari y no pasó nada, hoy se habla de McLaren, pero es lo mismo, no hay nada. Tengo un contrato con Williams hasta finales de 2004 y por lo menos el año entrante seguiré ahí. Ya he hablado con otros equipos porque seré un “hombre libre”. Uno debe buscar la mejor opción"".",0,"Actualidad, ocio y vida cotidiana",REA (Corpes Siglo XXI),"«Montoya habló de sus posibilidades de título». HOY Diario del Magdalena. Santa Marta: hoydiariodelmagdalena.com.co, 2003-08-08",Colombia,
534,Hombre libre,"Aquí la libertad es más importante que el dinero. El flamenco, que quiere decir “hombre libre”, el cante jondo, que sale de lo más profundo de esta tierra, parece ser el factor cultural más importante... He venido a Cádiz siguiendo la huella del Mago González. Preguntando por él he recorrido la noche gaditana.",0,Teatro,REA (Corpes Siglo XXI),"Galeas, Geovani: San Mago: patrón del estadio. San Salvador: Rubén H. Dimas, 2003.",El Salvador,
535,Hombre libre,"Hasta fin de mes se puede ver en el MAC la obra de esta artista que muestra, de forma original, el paisaje artificial de los encierros que pretenden guardar a sus pobladores, en lugar de con llaves y cercas de púas, con muros de cemento. Comunidades encerradas en sí mismas como cárceles urbanas para el “hombre libre”.",0,Arte y Cultura,REA (Corpes Siglo XXI),"Niurka, Norma: «Una artista crítica». El Nuevo Herald. Miami: elnuevoherald.com, 2004-06-11",Estados Unidos,
536,Hombre libre,"1512: Leyes de Burgos reconociendo como ""hombre libre"" al indio, aunque este sigue adscrito al régimen de explotación con la obligación de pagar tributo a la Corona.",0,Ciencias Sociales,REA (Corpes Siglo XXI),"García de Brens, Lilliam: Cultura indígena y educación natural. Santo Domingo: Banco Central de la República Dominicana, 2004",Republica Dominicana,
537,Hombre libre,"Los veinte años de militares revelaron la complicidad de muchos sectores de la sociedad brasileña con la dictadura. Pero también mostraron a un número de brasileños -estudiantes y profesores, muchos escritores, músicos y artistas, algunos curas y periodistas, unos cuantos políticos- que tuvo la valentía de oponerse a los generales y la claridad de defender la democracia. Uno de ellos es Millôr. Sobre él no hay dudas. No sólo constituye una referencia del mejor humor latinoamericano, sino de un “hombre libre"" y un crítico de su lugar y su tiempo.",0,Ciencias Sociales,REA (Corpes Siglo XXI),"Samper Pizano, Daniel: «Millôr. El filósofo que sonríe». El malpensante.com. Bogotá: elmalpensante.com, 2005-04",Colombia,
538,Hombre libre,"En los cañaverales viejos el corte ahora se volvía un infierno; un trabajo de esclavos que ""el “hombre libre” sólo puede asumir a partir de la más profunda conciencia revolucionaria"", como decía Fidel. A veces no se trataba de surcos, sino de verdaderas junglas de caña, según los muchachos que traían noticias frescas de los alumnos de música.",0,Ciencias Sociales,REA (Corpes Siglo XXI),"Guillermoprieto, Alma: La Habana en un espejo. Barcelona: Mondadori, 2005",Mexico,
539,Hombre libre,"Al cabo de un rato, el esfuerzo físico le hizo entrar en calor, y su ropa ya no sólo estaba mojada por el agua del baldeo, sino por su propia transpiración y por la sangre y otras sustancias de las que inevitablemente quedaron impregnadas; y supo que había descendido los últimos peldaños de la escala social, había dejado de ser un “hombre libre"" digno de respeto, y estaba reducido a la ínfima categoría de un simple menesteroso, un proletario sin cualificación, condenado de por vida a tratar de sobrevivir. ",0,Novela,REA (Corpes Siglo XXI),"Ndongo-Bidyogo, Donato: El metro. Barcelona: El Cobre Ediciones, 2007",Guinea Ecuatorial,
540,Hombre libre,"El hecho es que el joven Adrados, siempre independiente, humanista, sabio y “hombre libre”, perteneció a una generación sufridora de una guerra civil y de una división entre ganadores y perdedores, entre los que ""la mayor parte del país, si hubiera podido —como escribió él mismo en su libro Historia de la democracia (1997, p. 386)",0,Ciencias Sociales,REA (Corpes Siglo XXI),"Iglesias, Carmen: Contestación al disurso de ingreso en la RAH de Francisco Rodríguez Adrados. Madrid: Real Academia de la Historia, 2004",España,
541,Hombre libre,"¿A qué le tienen miedo, a que los jóvenes conozcan el Proyecto Varela? Las personas en la iglesia son libres. Las iglesias son territorio libre porque Dios creó al “hombre libre”. Y sacan sus propias conclusiones, y lo mismo que hay revistas de un tipo o de otro que dan una u otra opinión, este sacerdote les dio el Proyecto o les llevó allí el Proyecto y permitió que se discutiera, porque tiene que ver con nuestra realidad.",0,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"«FRAGMENTO LITERARIO». El País. Madrid: Diario El País S.A., 2003-06-20",España,
542,Sensible,"FIDEL- Un niño llamado Fidel. Alegre, confiado, tranquilo, “sensible”... tal vez demasiado sensible. Tenía un padre alto, fuerte, callado y una madre linda, muy linda. Ellos tuvieron ese hijo y no quisieron otro. Con Fidel era suficiente. Sólo que Fidel fue haciéndose primero un asmático y después más distante, más ausente. Y se fue haciendo más y más sensible.",1,Teatro,REA (Corpes Siglo XXI),"Armas, Dino: ""¿Y si te canto canciones de amor?"". www.dramaturgiauruguaya.gub.uy: dramaturgiauruguaya.gub.uy, 2013-01-15",Uruguay,
543,Sensible,Raquel: Lo que pasa es que me va a llegar la regla y me pongo “sensible”. David: ¿Y te va a llegar hoy día?,1,Teatro,REA (Corpes Siglo XXI),"Lillo, Daniella: Con flores amarillas. Chile: archivodramaturgia.cl, 2001",Chile,
544,Sensible,"MOCTEZUMA: Erís increíble, músico. Nos sabís cómo respetar a la gente. No vis que la Miriam es una cabra “sensible"". Que nos trata el descueve. Que es un ser humano que nunca hemos sabido mirar… LEO: No me digái que te enamoraste con el discurso, gil.",1,Teatro,REA (Corpes Siglo XXI),"Marras, Sergio: Sauna. Santiago de Chile: Secretaría de Comunicación y Cultura (SECC), 2001",Chile,
545,Sensible,"Carlitos intentó varias veces participar de aquella descomunal parranda, pero siempre fue rechazado. Incluso Betulia mostró con rudeza su negativa, sintiéndose “sensible” a los vestigios de la bofetada con la que aquel la ofendió. Carlitos, sin embargo, pudo percatarse de que el pretexto del festejo era Leonel, y ello ahondó las heridas y sus deseos de venganza ahogando unas y otros en un cotidiano e interminable pasear por bares y cantinas.",0,Relato,REA (Corpes Siglo XXI),"Martínez Espinosa, Jorge: «Leonel Castaño y Betulia Bautista». El final de los milagros. Colombia: Editorial Costa Rica, 2001",Colombia,
546,Sensible,"Por supuesto que, dada su violencia y la evidente influencia de las ideas de la Revolución Francesa, vía Haití; su insurrección si llevó a una alteración del orden. La presencia de influencias exógenas conllevó a la politización de los hechos y a la magnificación de este aspecto de la sublevación por parte de las autoridades locales, en un momento en el cual España era particularmente “sensible” a las consecuencias políticas de la Revolución Francesa y se preocupaba constantemente por evitar una posible influencia de este proceso en sus reinos del Nuevo Mundo",0,Ciencias Sociales,REA (Corpes Siglo XXI),"Ortega Dávila, Gladys: «LA INSURRECCION DE JOSE LEONARDO CHIRINO (1795)». Pinto González, Teresa; Aguiar Fagundez, Mike [coords.]: Rebeliones, alzamientos y movimientos preindependentistas en Venezuela. Caracas: Ediciones de la Presidencia de la República, 2001",Venezuela,
547,Sensible,"El gráfico (de la derecha) muestra la sismicidad total por año (“sensible” más la registrada por instrumentos) desde 1997 hasta el 2000. Se evidencia que para 1997 la cantidad total de sismos sobrepasó los 5000, en 1999 tiene un aproximado de 6000 y en el 2000 se encuentra por debajo de 5000. En promedio, la sismicidad total en este período es de 5000 sismos. El aporte a la sismicidad total (más del 50%) lo proporcionan los sismos regionales que provienen del Océano Pacífico o de la zona de subducción y en menor proporción los sismos locales que se generan dentro del territorio.",0,Salud,REA (Corpes Siglo XXI),"Díaz Flores, Manuel Roberto: «IV. Conferencias Introductorias. Aspectos Geofísicos e Impacto de los Terremotos de Inicios del 2001». Jenkins, Jorge J. [ed.] ... [et al.]: Memoria. Lecciones Aprendidas de los Terremotos del 2001 en El Salvador. Sector Salud. San Salvador: OPS/OMS, 2001",El Salvador,
548,Sensible,"Mariana tiene la boca seca y no puede concentrarse. Tiene la cámara en la mano, pero no sabe qué hacer con ella. Poncho, a su lado, dormita. Sólo Saldarriaga parece excitado y la adrenalina circula por sus venas a alta velocidad. Están frente a la bodega cercada con malla de alambre. junto al taxi hay una patrulla Toyota doble cabina, de la Policía. El teniente a cargo se ha fabricado un pulcro rostro genérico. Gafas oscuras compradas en Sanandresito y un bigote delgado. El pelo cortado de manera oficial. Ramírez, Beltrán, abran esa carajada, les ordena a los dos policías que han llegado en una moto. Mariana continúa con el oído “sensible"" a los sonidos lejanos. Con sus sentidos alerta. Escucha a los agentes. ¿Qué es lo qué pasa, Ramírez? Dice Beltrán, el que está sobre la moto. Nada hermano, que vamos a levantar a unos manes que venden pájaros, o algo así, responde el otro.",0,Novela,REA (Corpes Siglo XXI),"Rubiano Vargas, Roberto: El anarquista jubilado. Bogotá: Planeta Colombiana, 2001",Colombia,
549,Sensible,"Pero no requirió mucho tiempo don Metafrasto para percatarse de que tal como salían de las manos de sus fabricantes, las cajas serían rechazadas por su esposa quien vería en ellas diabólicas instigaciones a la lubricidad sólo dignas de ser destruidas en el acto. Entonces propuso al artesano, mediante un “sensible” incremento en los estipendios, sustituir los valses y demás aires mundanos por motetes y otros cánticos píos y a las bailarinas semidesnudas por monjillas regordetas que con sus boquitas abiertas simularían cantar las composiciones sagradas que brotarían de las tripas musicales magistralmente renovadas.",0,Novela,REA (Corpes Siglo XXI),"Iriarte, Alfredo: Espárragos para dos leones. Barcelona: Ediciones del Bronce, 2001",Colombia,
550,Sensible,"Vi para mi sorpresa a Antonio Romano sonriente como siempre, sin tener que ensayarla, ya que la mantuvo toda la vida en lo más “sensible” de sus labios; a diferencia de tu tía Eloísa, su pancarta, mostraba los rostros de las mujeres de su vida.",0,Novela,REA (Corpes Siglo XXI),"Espinosa, Fernan: Mi vida por un libro. Colombia: Editorial Impresos Josmar, 2001",Colombia,
551,Sensible,Algunos autores postulan la existencia de períodos sensibles o críticos del desarrollo durante los cuales los alimentos deberían ser introducidos. Período “sensible” es definido como el momento óptimo para que nuevas conductas sean aprendidas de la manera más eficiente mientras que el período crítico sería aquel después del cual no es posible que la conducta sea aprendida. Este hecho es importante en función de las etapas que se deben cumplimentar para el establecimiento de hábitos alimentarios saludables.,0,Salud,REA (Corpes Siglo XXI),"Sociedad Argentina de Pediatría. Comité de Nutrición Argentina: Guía de alimentación para niños sanos de 0 a 2 años. Argentina: Sociedad Argentina de Pediatría, 2001",Argentina,
552,Intercambio de fluidos,"Tal vez actué así para sentirme superior a 1.30 de estatura, o tentado por el aire remoto de aquel fémino, o tal vez todo esto, pero además buscando un acercamiento que terminara en “intercambio de fluidos”. (Todos los varones que se internan en aquella epicúrea selva buscan el intercambio de fluidos con las becarias provincianas). Yeni me miró tendiendo contra mí un cosmos de picardía, pero que me pareció más bien la sonrisa con que un alfarero había resuelto malograr a última hora su muñeca de porcelana.",1,Relato,REA (Corpes Siglo XXI),"Menéndez, Ronaldo: «Segunda parte. La isla de Pascalí. La verticalidad de las cosas». De modo que esto es la muerte. Toledo: Lengua de Trapo, 2002",Cuba,
553,Intercambio de fluidos,"El “intercambio de fluidos” es uno de los principales fetiches. Como en las películas porno, se ritualiza el momento de la eyaculación. Lo excitante del bareback es transgredir el sexo protegido, ""deshumanizar"" el coito, quitarle todo carácter moral. Es ""contaminarse"" sin arrepentirse de ello.",1,Salud,REA (Corpes Siglo XXI),"Salvador, Óscar: «Bareback: Sexo entre hombres a contracorriente». Letra S. México D. F.: letraese.org.mx, 2008-12-03",Mexico,
554,Intercambio de fluidos,"No es extraño. El autor de ""El jardín perfumado"", un árabe llamado Skeith Nefzaowi, observador acucioso de las relaciones sexuales, alguna vez se preguntó si las secreciones eran la sustancia cohesiva del amor. Tal vez tenía razón. Hay un lenguaje secreto en la recepción y el “intercambio de fluidos” en la pareja. También creía que lo que se buscaba con los besos no era tanto el contacto entre los labios y las lenguas, sino la necesidad de mezclar las salivas en busca de un lazo de unión permanente. ",1,Novela,REA (Corpes Siglo XXI),"Montaner, Carlos Alberto: La mujer del coronel. Florida: Alfaguara, 2011",Cuba,
555,Intercambio de fluidos,"Gracias a la trofalaxia, las termitas no sólo alimentan a las que no pueden hacerlo solas, sino que les transfieren los microorganismos que metabolizarán la indigerible celulosa. Además, gracias a este sistema, el “intercambio de fluidos” constante entre todos los individuos mantiene un mapa del estado de las castas que será transmitido a la reina cuando es alimentada por las obreras. Si ha habido bajas importantes entre los soldados, por ejemplo, la reina lo detectará y segregará hormonas que determinen el desarrollo de las ninfas en soldados.",0,Ciencia y Tecnologia,REA (Corpes Siglo XXI),"Rodríguez de la Fuente, Odile: «Los secretos de la reina». elmundo.es. Natura. Madrid: elmundo.es/suplementos/natura, 2006-04-08",España,
556,Intercambio de fluidos,"De acuerdo con la doctora Margarita Dehesa, jefa del Departamento de Gastroenterología del Centro Médico Nacional Siglo XXI del Instituto Mexicano del Seguro Social (IMSS), la hepatitis por virus C es una infección más contagiosa que el Sida y en un buen número de los casos, puede ser adquirida a través de una transfusión de sangre o derivados de la misma, aunque refirió que existen otras vías de contagio menos frecuentes, como el “intercambio de fluidos” corporales: leche materna, saliva, relaciones sexuales u orina. Comentó que la Organización Mundial de la Salud (OMS) ha considerado a la hepatitis C como un problema de salud pública, toda vez que en promedio existen 350 millones de personas infectadas, mientras que en México se estima que la padecen cerca del uno por ciento de la población; además es la primer causa de transplante de hígado a nivel mundial.",0,Salud,REA (Corpes Siglo XXI),"«La riesgosa hepatisis C». La Jornada. Investigación y Desarrollo. México D. F.: Demos. Desarrollo de Medios, S.A. de C.V., 2001-03-03",Mexico,
557,Intercambio de fluidos,"Lo que debemos lograr es que la mamá esté lo más relajada posible para que este “intercambio” de fluidos entre la placenta y el feto se produzca de la mejor manera. De esa forma, el monitoreo de la frecuencia cardíaca fetal no mostrará mayores disminuciones que las normales esperadas en los partos.",0,Ciencia y Tecnologia,REA (Corpes Siglo XXI),"Federico, Gabriel Fabián: El embarazo musical. Estimulación, comunicación y vínculo prenatal a través de la música. Buenos Aires: Kier, 2001",Argentina,
558,Buscar nuevos horizontes,"Y ahora que circunstancias completamente ajenas a su voluntad le devolvían la posibilidad de prolongar su vida en Polonia, le invadió el deseo contrario, salir cuanto antes, cambiar de aires, “buscar nuevos horizontes”. Sentía agotado su periplo vital y profesional en las tierras del Vístula y la involuntaria continuación le parecía como el falso final de una historia mal contada. Se iba pero no acababa de irse, cuando en la mente y en la realidad de sus relaciones todo llevaba ya varias semanas cerrado. ",1,Novela,REA (Corpes Siglo XXI),"Rupérez, Javier: El precio de una sombra. Barcelona: Ediciones Destino, 2005",España,
559,Buscar nuevos horizontes,"El caso migratorio dominicano se expande a Europa y los Países Bajos. Quienes llegan desde nuestra media isla son, en su mayoría, mujeres, que más allá de “buscar nuevos horizontes” huyen de la certidumbre de un país que a primera vista no ofrece mayores oportunidades a ellas y a sus familias.",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Fuentes, Euri: «Migraciones: Una realidad que lo atraviesa todo». A Primera Plana. Santo Domingo: aprimeraplana.org, 2003-02",Republica Dominicana,
560,Buscar nuevos horizontes,"Más de un centenar de bolivianos que tenían esperanza de “buscar nuevos horizontes” en España fueron estafados por un hombre que les prometió trabajo, pero que sólo les sacó dinero y todo resultó ser una falsa promesa. Se trata de Jesús Sergio Romero Murillo que actuaba desde el pasado año en una oficina improvisada de la calle Seoane 124.",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Arancibia Guillén, Guider: «A la cárcel charlatán que prometió viajes a España». eldeber.com.bo. Santa Cruz de la Sierra: eldeber.com.bo, 2005-05-22",Bolivia,
561,Buscar nuevos horizontes,"En dos semanas, Sin Líneas en el Mapa levará anclas. Cruzará la frontera para “buscar nuevos horizontes” en Buenos Aires, Argentina. Es un viaje que, por el momento, sólo tiene pasaje de ida. Lleva en sus petacas guitarras, cuatros venezolanos, charangos, ritmos de todas partes de América Latina, dos discos bien trabajados y la idea de plasmar un tercero, esta vez fuera de los linderos del Perú.",1,Arte y Cultura,REA (Corpes Siglo XXI),"Vadillo Vila, José: «Hasta luego». El Peruano. Lima: elperuano.com.pe, 2005-09-14",Peru,
562,Buscar nuevos horizontes,"Suena como una nueva avivada ""a la argentina"". Redundaría en pan para hoy y hambre para mañana: un desarrollador mal pago podrá trabajar durante un tiempo en el país, pero a la larga apostará por “buscar nuevos horizontes”. Y otra vez podrían malgastarse las grandes posibilidades que se abren para una industria del software. A la materia gris hay que protegerla y nunca más expulsarla, como lo hicimos durante los últimos sesenta años.",1,Ciencias Sociales,REA (Corpes Siglo XXI),"«Cuidemos el capital nacional en materia gris». Clarín. Informática. Buenos Aires: clarin.com, 2003-03-12",Argentina,
563,Buscar nuevos horizontes,"-¿Adonde iremos a parar? -dijo una muchacha amiga de María Emilia, preguntándole a nadie y agregó: -Cuando uno se va de un país es para “buscar nuevos horizontes” ¿no?, entonces ¿quién pensaría en volver si no fuera sólo de visita? -Si se despega el dólar, como en el ochenta y dos, estamos fritos. Más de uno va a quebrar como quien rompe un escarbadientes -dijo otro.",1,Novela,REA (Corpes Siglo XXI),"Martínez, Ignacio: Las orillas del océano. Montevideo: Editorial Sudamericana, 2003",Uruguay,
564,Buscar nuevos horizontes,"""Te entiendo, hijo. Pues yo también tuve una experiencia que me llevó a “buscar nuevos horizontes..."". Fue entonces cuando Miguel Antonio relató el incidente que lo había marcado para toda la vida, aquella vez que ese millonario prepotente había humillado a su padre de esa manera infame, y a lo último concluyó: ""Así que tienes mi permiso para abandonar este hogar bajo una sola condición: que siempre me mantengas informado de dónde estás"". En seguida los dos se abrazaron con fuerza, y, sin decir otra palabra ni recibir un solo peso de ayuda, Ernesto salió de esa casa por la puerta principal y no regresó jamás.",1,Novela,REA (Corpes Siglo XXI),"Botero, Juan Carlos: El arrecife. Barcelona: Belacqva, 2006",Colombia,
565,Buscar nuevos horizontes,"Aunque se ganó rápidamente la confianza del capo, no obtuvo un aumento de sueldo. La imperiosa necesidad de seguir escalando posiciones y aumentando la billetera, llevó a Johnny a “buscar nuevos horizontes”. Empacó maletas y se fue a probar suerte esta vez a Bolivia, ya no como raspachín o recolector de hojas de coca sino como trabajador en un laboratorio para el procesamiento de cocaína.",1,Novela,REA (Corpes Siglo XXI),"López, Andrés; Ferrand, Juan Camilo: Las muñecas de los narcos. Madrid: Aguilar, 2010.",Colombia,
566,Buscar nuevos horizontes,"Más allá de la instrumentación y la relectura forzada que la obra de Bolaño sufre en Estados Unidos, a la que antes había hecho mención Castellanos Moya, Villoro recordó las fobias de su amigo por las becas literarias a las que alguna vez también aplicó, la dificultad para publicar en México, su segunda patria, que lo obligaron a “buscar nuevos horizontes” y las contradicciones como el amor odio fecundo hacia su país de nacimiento. Villoro encontró en esas pasiones latentes que el Bolaño llevó al papel al fusionar su literatura y su vida misma un carácter vanguardista dentro de su obra. ""No veo a Bolaño como un vanguardista, lo veo como un romántico.",1,Ciencias Sociales,REA (Corpes Siglo XXI),"Carelli Lynch, Guido: «EN EL CIERRE DEL FILBA. Buscando a Bolaño, ""el escritor insufrible""». Ñ. Buenos Aires: revistaenie.clarin.com, 2008-11-17",Argentina,
567,Buscar nuevos horizontes,"Unos días después, el director desplegó un periódico sobre la tapa del escritorio y lo llamó con vehemencia. Jordi cruzó la estancia y fijó repentinamente la vista en el anuncio, en el dedo amarillento del director. Días atrás le había confesado que quería hacer un viaje, “buscar nuevos horizontes” en otros países. Habría jurado que su deseo no sería escuchado. Al ver el anuncio en el periódico no sintió alegría, ni agradecimiento por la información de ese hombre. Con una sonrisa vaga, el director le señaló el anuncio de La Vanguardia donde se solicitaba un jardinero profesional para trabajar en una ciudad de los Andes.",1,Novela,REA (Corpes Siglo XXI),"Vásconez, Javier: Jardín Capelo. Quito: Corporación Cultural Orogenia, 2007",Ecuador,
568,Buscar nuevos horizontes,"La cosa cambiaba si el rey, príncipe o noble era derrocado. Entonces, había que “buscar nuevos horizontes”. Pero mientras permaneciera en el poder, todo iba bien. Los críticos acusan a los museos de blanquear la imagen de la polémica compañía.",1,Arte y Cultura,REA (Corpes Siglo XXI),"Sáenz de Ugarte, Íñigo: «El patrocinio tóxico de BP». público.es. Madrid: publico.es, 2010-06-27",España,
569,Buscar nuevos horizontes,"ARECIBO -María Eugenia Cabrera Nieves decidió “buscar nuevos horizontes” y romper con las barreras que el mundo le impone por padecer de distrofia muscular. Con tenacidad y confianza en sí misma, esta joven arecibeña se marchó sola a Estados Unidos para hacer realidad sus sueños.",1,Ciencias Sociales,REA (Corpes Siglo XXI),"Rosario, Frances: «Honor a la valentía de una joven que ha roto barreras». El Nuevo Día. San Juan: elnuevodia.com, 2002-12-04",Puerto Rico,
570,Buscar nuevos horizontes,"Armando es el nombre de uno de los residentes más carismáticos de las Islas Vírgenes. La dictadura argentina lo obligó a “buscar nuevos horizontes” y, casi de casualidad, este archipiélago británico se transformó en su lugar en el mundo.",1,Ciencias Sociales,REA (Corpes Siglo XXI),"Quartino, Ignacio: «Haga turismo y/o blanquee capitales por 800 dólares al día». El País digital. Montevideo: elpais.com.uy, 2007-04-21",Uruguay,
571,Buscar nuevos horizontes,"Lo importante es conservar lo que tenemos, y “buscar nuevos horizontes” en donde podamos ampliar más nuestros mercados y nuestras perspectivas de desarrollo, en beneficio de los más pobres. Procesos como el Alba, anhelo de generaciones de latinoamericanos, se enfrentan a la realidad y circunstancias de una vida en un mundo que evoluciona y se hace cada vez más pequeño, debido a los avances y a la inventiva del ser humano.",0,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Arana Icaza, Frank: «Hay una vía». La Prensa.com.ni. Managua: laprensa.com.ni, 2007-01-30",Nicaragua,
572,Buscar nuevos horizontes,"Con la excusa de “buscar nuevos horizontes” en el Río de la Plata, Blanca Luz convenció a Siqueiros de volver al punto de partida de su agitado romance. Buenos Aires era, por esos días, una ciudad con ricos casi tan poderosos como los de Norteamérica e incluso más refinados por su cultura europeizada.",0,Novela,REA (Corpes Siglo XXI),"Coscia, Jorge: Juan y Eva. El amor, el odio y la revolución. Buenos Aires: Sudamericana, 2011",Argentina,
