,Palabra clave,Texto editado,Es Eufemistico,Categoria,Fuente,Fuente de Origen (Bibliografia),Pais,Observations,,,,,,,,,,,,,,,,,,
784,Sin techo,"No obstante la disposición de las fuerzas responsables de toda la operación de carga -trabajadores de la Terminal y de la fábrica de pienso- es necesario que los clientes agilicen más la extracción, si se tiene en cuenta que esta es una batalla contra reloj. Es preciso acelerar la extracción pues de llover de nuevo se incrementaría el deterioro ya que una parte del local todavía está “sin techo”.",0,Ciencia y Tecnologia,REA (Corpes Siglo XXI),"Sáez Chávez, Armando: «Aprovechar esa montaña de maíz». Diario Granma. La Habana: granma.cubaweb.cu, 2005-07-15",Cuba,,,,,,,,,,,,,,,,,,,
785,Sin techo,"El mendigo de esa historia duerme en el cine porno y nunca omite en su relato el detalle de su faena sexual: técnicas y posiciones. Pero detrás del air erotómano deja entrever la soledad y el desamparo de estar en la ciudad “sin techo”, con el cuerpo enfermo y maltrecho, y propone una revolución narrativa: que aun así subsista el deseo. Esa conjunción entre deseo y enfermedad, que se corre del lugar común del lamento de otros diarios del género, también es el tema de Un año sin amor, editado por Perfil, en el que la narración se hace más autorreferencial, en formato de diario íntimo, pero en los mismos ámbitos socialmente desaprobados como el pub leather, el cine porno y el boliche gay. ",0,Arte y Cultura,REA (Corpes Siglo XXI),"«Un mendigo erotómano». Página/12. Rosario: pagina12.com.ar, 2005-03-19",Argentina,,,,,,,,,,,,,,,,,,,
786,Planificación familiar,"Las estadísticas de “planificación familiar” en nuestro país no cuentan con información completa debido a la ausencia de un sistema nacional de información, que incluya el servicio privado de salud, la venta de anticonceptivos a través de farmacias, encuestas de población y seguimiento de las usuarias.",1,Salud,REA (Corpes Siglo XXI),"Schiappacasse, Verónica ... [et al.]: Chile: Situación de la salud y los derechos sexuales y reproductivos. Santiago de Chile: Instituto Chileno de Medicina Reproductiva, Corporación de Saludy Políticas Sociales, 2003",Chile,,,,,,,,,,,,,,,,,,,
787,Planificación familiar,"Los temas abordados incluyeron: la “planificación familiar” para reducir el número de abortos, la práctica del aborto legal (con medicamentos y con instrumentos), revisión de las legislaciones, y perspectivas sobre el aborto desde el punto de vista de los hombres y de los profesionales de salud. Asistieron casi 300 participantes, que representaron a 18 países de América Latina y el Caribe y de otras partes del mundo. En el último día se realizó un taller sobre cómo informar mejor los resultados de la investigación a diferentes audiencias. Los participantes calificaron el evento de un rotundo éxito, por el contenido desarrollado y por los objetivos cumplidos.",1,Salud,REA (Corpes Siglo XXI),"«Se llevó a cabo la conferencia sobre embarazo no deseado y aborto inducido». Salud Pública de México. México: Subdirección de Publicaciones del Instituto Nacional de Salud Pública, 2002-02-03",Mexico,,,,,,,,,,,,,,,,,,,
788,Planificación familiar,"En la mayoría de los casos, el embarazo en adolescentes ocurre por falta de una adecuada orientación sobre el tema sexual, salud reproductiva y “planificación familiar”. La educación, tanto en la casa como en los centros educativos, debe ser una prioridad para evitar embarazos no deseados y de alto riesgo.",1,Ciencias Sociales,REA (Corpes Siglo XXI),"«Adolescentes necesitan trabajar como domésticas sin ser separadas de sus hijos». ABC Digital. Asunción: abc.com.py, 2004-08-08",Paraguay,,,,,,,,,,,,,,,,,,,
789,Planificación familiar,"Entre las entrevistadas, el 7.8% ya habían formado pareja, pero solamente una estaba viviendo con su pareja. Menos de un tercio de ellas utilizan métodos de “planificación familiar”; expresaron que desean tener hijos, no conocen sobre anticonceptivos, la iglesia no les permite, o la pareja no quiere que los use. Las que están previniendo embarazos, utilizan pastillas, DIU y anticonceptivos inyectables.",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Oficina Internacional del Trabajo [coord.]: El trabajo infantil doméstico en Honduras. A puerta cerrada.... San José: Oficina Internacional del Trabajo, 2003",Honduras,,,,,,,,,,,,,,,,,,,
790,Planificación familiar,"Estas aterradoras cifras han motivado que setenta y cinco organizaciones de mujeres exijan al próximo gobierno que considere en el manual de 'Normas de “Planificación Familiar” del Ministerio de Salud, el uso de las 'píldoras anticonceptivas de emeregencia' (PAE). Se trata de las mismas pastillas anticonceptivas existentes en el mercado -Ovral, Neogynon, Nordiol, Microgynon, Nordet y Lo-Femenal- pero tomadas una primera dosis (de dos o cuatro pastillas dependiendo de la marca) durante los tres días siguientes a la relación sexual sin protección; y una segunda, 24 horas después. ""La prueba de que no son abortivas -dice Güezmes- es que el método no es efectivo si el embarazo está en curso. Por eso, mientras antes se tomen, más eficaces"".",1,Salud,REA (Corpes Siglo XXI),"«Pelea de Pildoras». Caretas. Lima: caretas.com.pe, 2001-06-28",Peru,,,,,,,,,,,,,,,,,,,
791,Planificación familiar,"Bush ha entrado con mal pie entre la sociedad liberal con la que había prometido reconciliarse, pero con inusitada buena mano para los congresistas demócratas. Ninguno de los senadores liberales que se reunieron ayer con el nuevo presidente para discutir su plan educativo mencionó la polémica suspensión de fondos públicos para organizaciones de “planificación familiar” que contemplan el aborto en el extranjero.",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"«Joe Lieberman y Ted Kennedy, entre los congresistas que respaldan al presidente». El Norte de Castilla. Valladolid: nortedecastilla.es, 2001-01-24.",España,,,,,,,,,,,,,,,,,,,
792,Planificación familiar,"Tubaria Bilateral (OTB) y el Dispositivo Intrauterino (DIU); además son los que tienen mayor efectividad y tasa de continuidad. Existe un 12.3% de personas que prefieren los métodos tradicionales, lo que indica la diversidad de formas que existen para decidir sobre la sexualidad y reproducción en la población. El programa de “Planificación Familiar”, debe ofrecer servicios específicos e información de calidad a las y los usuarios, para satisfacer sus necesidades con absoluto respeto a las creencias y prácticas de regulación de la fertilidad.",1,Salud,REA (Corpes Siglo XXI),"Secretaría de Salud: El derecho a la libre decisión en salud reproductiva. México, D.F.: Secretaría de Salud. Dirección General de Salud Reproductiva, 2002",Mexico,,,,,,,,,,,,,,,,,,,
793,Planificación familiar,"Igualmente, la Alcaldía del municipio hizo campaña de vacunación contra el sarampión, la hepatitis B, el toxoide tetánico, fiebre amarilla, polio y trivalente viral, y se ofrecieron asesorías sobre “planificación familiar”, dengue, medicina familiar, control de peso y terapias de reemplazo hormonal, indicó el alcalde de Chacao, Leopoldo López.",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"«Chacao realizo Día de Atención a Ciudadanos». El Universal. Caracas: eluniversal.com, 2002-06-02",Venezuela,,,,,,,,,,,,,,,,,,,
794,Planificación familiar,"Para el Dr. Ramón Sánchez, director de “planificación familiar” en el Recinto de Ciencias Médicas, dejarse llevar exclusivamente por la edad fisiológica o por los niveles de fertilidad para procrear, sólo se estaría promoviendo el embarazo en las jóvenes.",1,Salud,REA (Corpes Siglo XXI),"Ferraiuoli Suárez, Bibiana: «El dilema de cuándo concebir». El Nuevo Día. San Juan: elnuevodia.com, 2002-06-09.",Puerto Rico,,,,,,,,,,,,,,,,,,,
795,Planificación familiar,"Para despedirse, la Bene y Jeny se acercaron a nuestra mesa empujando a otras chicas, entre ellas Elisa, que llamó la atención del Maxicho por el voluminoso trasero que ostentaba, encajado en unos jeans, que seguramente necesitaron de vaselina para almacenar tantos kilos de carne, también quería conocer a la Maricucha y recibir los llaveros de condón, que les obsequiamos bajo solemne promesa de que, una vez en el Parlamento, me preocuparía por mejorar sus controles sanitarios, les daríamos clases de educación sexual, prevención del SIDA y “Planificación Familiar”, todo gratis por consideración a que se trataba de la profesión más antigua del mundo y también la más sacrificada, a la cual los caballeros debían muchas horas de esparcimiento y buen vivir.",1,Novela,REA (Corpes Siglo XXI),"Pedraza Pérez del Castillo, Pilar: Mujer escorpión. Novela inédita. La Paz: s. n., 2001",Bolivia,,,,,,,,,,,,,,,,,,,
796,Planificación familiar,"""Cuando se dice que hay que implementar un programa de procreación responsable es para que las mujeres tengan acceso a la atención gratuita, que es un derecho constitucional. La Constitución sostiene que la “planificación familiar” es un derecho humano básico. Pero de ahí a que se cumpla hay una distancia. Son 15 provincias las que tienen un programa, entre ellas la Capital, Neuquén, Mendoza, La Pampa, Chaco, y en Santa Fe, Rosario"".",1,Salud,REA (Corpes Siglo XXI),"«Aborto clandestino, primera causa de muerte materna. Vidas que podrían salvarse». Página 12. Buenos Aires: pagina12.com.ar, 2002-04-01",Argentina,,,,,,,,,,,,,,,,,,,
797,Planificación familiar,"Por estas razones, la introducción de la anticoncepción de emergencia (AE) en las normativas de salud reproductiva, “planificación familiar” y violencia sexual fue el enfoque de una conferencia latinoamericana, que reunió a 19 países en Quito, la semana pasada.",1,Salud,REA (Corpes Siglo XXI),"«La píldora de emergencia previene los abortos». El comercio.com. Quito: elcomercio.com, 2002-10-22",Ecuador,,,,,,,,,,,,,,,,,,,
798,Planificación familiar,"La “planificación familiar” basada en las tesis neomalthusianas es insuficiente para resolver un problema que requiere soluciones globales. Debe ser un remedio integrado en un proyecto global que permita movilizar la población para la educación y la ocupación, mejoras en las condiciones sanitarias y de nutrición, un mínimo de infraestructura, mejorar la participación de la población en las cuestiones que les afecten. Dicho de otra manera, las hambrunas en África tienen mucho más que ver con el escaso desarrollo sostenible que con el índice de natalidad.",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Muakuku Rondo Igambo, Fernando: Pobreza, desarrollo y globalización en el Sur del Sur. Barcelona: Ediciones Carena, 2013",Guinea Ecuatorial,,,,,,,,,,,,,,,,,,,
799,Planificación familiar,"Los derechos reproductivos están consagrados en el artículo 4º constitucional que establece el derecho de toda persona a decidir de manera libre, responsable e informada sobre el número y espaciamiento de los hijos y a obtener la información y los servicios idóneos. Además, la Norma Oficial Mexicana de los Servicios de “Planificación Familiar” indica los estándares de calidad con los que deben otorgarse los servicios. El propio Programa Estratégico de Salud Reproductiva destaca las principales líneas de acción que deben instrumentarse para que tanto hombres como mujeres puedan ejercer sus derechos reproductivos.",1,Salud,REA (Corpes Siglo XXI),"Secretaría de Salud: El derecho a la libre decisión en salud reproductiva. México, D.F.: Secretaría de Salud. Dirección General de Salud Reproductiva, 2002",Mexico,,,,,,,,,,,,,,,,,,,
800,Planificación familiar,"En la HV1 la paternidad fue algo difícil de asumir y en dos ocasiones un hecho que la esposa decidió por él; no fue fruto de una planificación conjunta ni algo que él esperaba. Cuando existió “planificación familiar”, esta responsabilidad recayó totalmente en la esposa. La paternidad no aparece aquí como algo absolutamente necesario ni fundamental para conformar la identidad masculina. Pero la manera de asumirla es diferente, más involucrada, en un proceso de menos a más entre el primero y el segundo hijo, aunque en ambos casos se plantea desde el inicio la crianza conjunta entre padre y madre en lo cotidiano.",1,Ciencias Sociales,REA (Corpes Siglo XXI),"Troya F., María del Pilar: «No soy machista pero... Masculinidades en profesionales de clase media de la ciudad de Quito». Masculinidades en Ecuador. Quito: FLACSO, 2001",Ecuador,,,,,,,,,,,,,,,,,,,
801,Planificación familiar,"Paulina vio a sus hermanas ya habían llegado cinco críos a la casa. A los treinta años, las mujeres indígenas son unas ancianas y acarrean los cuerpos viejos, dice Paulina hoy día. El promedio de hijos es de siete; algunas de sus parientes tenían doce. La primera vez que sus hermanas escucharon hablar de “planificación familiar” fue con la llegada de los zapatistas. Pero la Iglesia católica les recordó, una vez más, que aquello era pecado. Paulina se pregunta en qué número irán estos días.",1,Novela,REA (Corpes Siglo XXI),"Serrano, Marcela: Lo que está en mi corazón. Barcelona: Planeta, 2001",Chile,,,,,,,,,,,,,,,,,,,
802,Planificación familiar,"En la década de los ochenta, el Programa de “Planificación Familiar” incorporó el enfoque de riesgo, se iniciaron programas de anticoncepción posevento obstétrico, dándose prioridad a grupos específicos de población que se identificaron como vulnerables y de mayor riesgo. Posteriormente se iniciaron acciones y estrategias encaminadas a brindar información a la población adolescente.",1,Salud,REA (Corpes Siglo XXI),"Secretaría de Salud: El derecho a la libre decisión en salud reproductiva. México, D.F.: Secretaría de Salud. Dirección General de Salud Reproductiva, 2002.",Mexico,,,,,,,,,,,,,,,,,,,
803,Planificación familiar,"En este estudio se definió como ""oportunidad perdida"", cuando una usuaria que visita un centro de salud sale de éste, sin haber recibido información y servicios de “planificación familiar” que desea y necesita, aunque haya acudido al centro de salud por otro servicio. Si los servidores revisaran sistemáticamente estas necesidades, no se desaprovecharían las oportunidades de brindar los servicios y las coberturas podrían aumentar sustancialmente, sin incurrir en grandes costos o esfuerzos.",1,Salud,REA (Corpes Siglo XXI),"Aguilar, Claudia; Mendoza, Irma; Vernon, Ricardo: «¿En qué grado se pierden oportunidades para dar servicios de planificación familiar en los centros de salud de Honduras?». Population Council, Oficina Regional para América Latina y el Caribe: Honduras. Mejorar la salud reproductiva. México D. F.: The Population Council, 2002.",Honduras,,,,,,,,,,,,,,,,,,,
804,Planificación familiar,"Dijo que los programas de “planificación familiar” han sido importantes en la política de salud, pero cuestionó que éstos se centren en la promoción del uso de anticonceptivos y cirugías para mujeres.",1,Salud,REA (Corpes Siglo XXI),"Salinas, Martha: «México, en ayuno de educación sexual y salud reproductiva». Milenio.com/salud. Ciudad de México: milenio.com/salud, 2001-12-21.",Mexico,,,,,,,,,,,,,,,,,,,
805,Planificación familiar,"La edad reglamentaria para acceder a métodos de “planificación familiar” es entre los 15 y los 44 años, sin embargo, el sistema de salud pública ofrece anticonceptivos sólo después del primer embarazo, lo que tiene implicancias enormes en la vida de las mujeres -embarazos no deseados y aborto- afectando de manera particular a las adolescentes.",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Rojas Bravo, Ximena: «SEGUNDA PARTE. Familia, Trabajo, Seguridad Social y Etnias. Las mujeres chilenas, pilares de la familia». Matus, Verónica [coord.]: Más derechos, económicos, sociales y culturales: menos desigualdades de las mujeres en Chile. Santiago de Chile: La morada, 2002.",Chile,,,,,,,,,,,,,,,,,,,
806,Planificación familiar,"Sus gráficos acompañan -siempre agregando, nunca restando- la ""Piedra de Toque"" de Mario Vargas Llosa y el fino humor de la adorada ""China"" Tudela. Los premios y las muestras internacionales no le han sido esquivos. Obtuvo el primer lugar en el concurso de historieta sobre “planificación familiar” convocado por la revista La Tortuga y APROPO (1990) y el tercer peldaño en el Concurso Nacional de Humor Gráfico, organizado por el diario Correo de Arequipa (1987); entre otras tantas exposiciones participó en la Deuxieme Féstival du Dessin Politique en Bruselas, Bélgica (1989)",1,Arte y Cultura,REA (Corpes Siglo XXI),"«Molina Punto Com». Caretas. Lima: caretas.com.pe, 2001-08-16.",Peru,,,,,,,,,,,,,,,,,,,
807,Planificación familiar,"El Programa de Acción ratificó el derecho inalienable de las personas al libre ejercicio de su sexualidad y la reproductividad sin ninguna forma de discriminación, coerción ni violencia. También instruye a los gobiernos a proveer a la población servicios de calidad de “planificación familiar” en salud reproductiva, de manera integral para garantizar que la maternidad sea un proceso saludable y que las mujeres puedan disfrutar de salud y bienestar en todos los ciclos de su vida.",1,Salud,REA (Corpes Siglo XXI),"«Día Internacional de Acción por la Salud de las Mujeres». Hoy digital. Santo Domingo: hoy.com.do, 2004-05-30",Republica Dominicana,,,,,,,,,,,,,,,,,,,
808,Planificación familiar,"Los embarazos no planeados o no deseados elevan el riesgo para la salud: una de cada ocho muertes maternas se debe a problemas de salud relacionados con el aborto. Si no hubiera embarazos no deseados, se podrían evitar hasta 25% de las muertes maternas (SSH, 1998). La “planificación familiar” también puede prevenir muertes infantiles: un niño que nace con un espacio intergenésico menor de dos años, tiene el doble de probabilidades de morir que un niño que nace con un intervalo de dos o más años.",1,Salud,REA (Corpes Siglo XXI),"Medina, Ruth ... [et al.]: «Fortalecimiento de los servicios de anticoncepción en posparto y posaborto en hospitales de Honduras». Population Council, Oficina Regional para América Latina y el Caribe: Honduras. Mejorar la salud reproductiva. México D. F.: The Population Council, 2002.",Honduras,,,,,,,,,,,,,,,,,,,
809,Planificación familiar,"El mifepristone interrumpe un embarazo confirmado, mientras que las pastillas anticonceptivas de emergencia previenen un embarazo. Mifepristone causa un aborto, la anticoncepción de emergencia funciona sólo si la mujer no se encuentra embarazada. La anticoncepción de emergencia consiste en altas dosis de pastillas anticonceptivas de uso diario y disponibles al público en farmacias o servicios de “planificación familiar”, y que han sido usadas en México desde los años sesentas.",1,Salud,REA (Corpes Siglo XXI),"García Guzmán, Sandra: «La píldora RU-486, ""propiedad moral de las mujeres""». La Jornada. Letra S. Ciudad de México: jornada.unam.mx, 2001-02-01",Mexico,,,,,,,,,,,,,,,,,,,
810,Planificación familiar,"Estos son una excelente alternativa para desarrollar un proceso orientador y educativo que a la vez les entregue a los jóvenes las herramientas necesarias para enfrentar los riesgos. Las jóvenes no solo reciben charlas sobre salud sexual y reproductiva, sino que también tienen acceso a diferentes métodos de “planificación familiar”. Los clubes facilitan la relación de los adolescentes con los servicios de salud, ya que el 95% funcionan en los locales de los Centros y Puestos de Salud, los que generalmente les prestan servicios, sobre todo en los programas orientados a la actividad reproductiva.",1,Salud,REA (Corpes Siglo XXI),"Espinosa Ferrando, Jaime: Nicaragua: El Desarrollo del Sistema de Salud: Desde mediados del siglo XIX hasta nuestros días. Managua: Fundación Friedrich Ebert, 2003",Nicaragua,,,,,,,,,,,,,,,,,,,
811,Planificación familiar,"En mi último trabajo, África subsahariana y Occidente: Historia de una dependencia, defendía la necesidad de regular la tasa de natalidad en función de la planificación general, que no significa necesariamente reducir el número de nacimientos por pareja. La “planificación familiar” debe ser algo más que una simple receta casera. Las rigideces políticas y el retroceso económico tienen más que ver con la miseria del Sur que con el número de nacimientos. Es así como se debe plantear el problema.",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Muakuku Rondo Igambo, Fernando: Pobreza, desarrollo y globalización en el Sur del Sur. Barcelona: Ediciones Carena, 2013",Guinea Ecuatorial,,,,,,,,,,,,,,,,,,,
812,Planificación familiar,"Ofrece cobertura en todas las especialidades y para acceder a una consulta, los usuarios colorados deben abonar sólo 3.000 guaraníes. Cuenta con consultorios de Pediatría, Ginecología, Clínica Médica, “Planificación Familiar” y vacunación, estos dos últimos servicios son gratuitos. Además ofrece atención cardiológica y odontológica. Nueve funcionarios, de los cuales cinco son médicos que presupuestariamente dependen de la XVIII Región Sanitaria cumplen funciones en este puesto de salud. ",1,Salud,REA (Corpes Siglo XXI),"«Estado solventa la clínica colorada de la Chacarita». La Nacion.com.py. www.web.archive.org: web.archive.org, 2001-03-08",Paraguay,,,,,,,,,,,,,,,,,,,
813,Planificación familiar,"Para el doctor Daniel Aspilcueta, de Inppares, que tiene un concepto más abierto sobre la “planificación familiar”, ""el argumento que las PAE son abortivas, no tiene mayor sustento científico que no sea el de un folletín de parroquia"". Por su parte, Ana Güezmes, de Flora Tristán (ver recuadro), teme que ""el próximo gobierno de Perú Posible confunda una política de salud pública con una opción religiosa católica y conservadora"".",1,Salud,REA (Corpes Siglo XXI),"«Pelea de Pildoras». Caretas. Lima: caretas.com.pe, 2001-06-28",Peru,,,,,,,,,,,,,,,,,,,
814,Planificación familiar,"Con semejante tasa global de fecundidad la posibilidad de planificar un uso sostenible del territorio es sumamente difícil. Tradicionalmente los profesionales dedicados a la conservación no han considerado como un problema el espinoso tema de la “planificación familiar”, pero las cifras nos muestran la necesidad de abordarlo en relación directa con la conservación de nuestro patrimonio natural. ",1,Ciencia y Tecnologia,REA (Corpes Siglo XXI),"Martínez-Sánchez, Juan C...[et al.]: Biodiversidad zoológica en Nicaragua. Managua: Proyecto Estrategia Nacional de Biodiversidad y su Plan de Acción, 2001",Nicaragua,,,,,,,,,,,,,,,,,,,
815,Planificación familiar,"A 97% de estas mujeres le gustaría espaciar su próximo embarazo o no tener más embarazos en el futuro, y 85% quisiera usar un método anticonceptivo después del parto. Sin embargo, a tres cuartas partes de las mujeres no se les dio información sobre métodos de “planificación familiar”. Aun considerando una definición más estricta de oportunidad perdida en este grupo (mujeres embarazadas que no quieren tener más hijos o desean tenerlos hasta después de dos años, que quieren usar métodos en el futuro y que no les dieron ninguna información al respecto), se perdieron el 59% de las oportunidades.",1,Salud,REA (Corpes Siglo XXI),"Aguilar, Claudia; Mendoza, Irma; Vernon, Ricardo: «¿En qué grado se pierden oportunidades para dar servicios de planificación familiar en los centros de salud de Honduras?». Population Council, Oficina Regional para América Latina y el Caribe: Honduras. Mejorar la salud reproductiva. México D. F.: The Population Council, 2002.",Honduras,,,,,,,,,,,,,,,,,,,
816,Amiga intima,"Pero no le doy mucho crédito al cinismo momentáneo de Javier y prefiero seguir pensando en que simplemente es su mojo lo que lo abastece siempre de carne fresca. Claro que el resentimiento de por qué no soy yo la elegida para tomar la plaza de la “amiga íntima” en su sistema me queda punzando. Pensar que hay otra fémina en la categoría amiga, y que pesa más que yo por su papel de combo -sexo + amistad-, definitivamente me molesta.",1,Novela,REA (Corpes Siglo XXI),"Aldana, Claudia: Happy hour. Santiago de Chile: Planeta, 2003",Chile,,,,,,,,,,,,,,,,,,,
817,Amiga intima,"Jackeline Pearson fue su “amiga íntima”. Ella era redactora del principal diario de la ciudad norteamericana de Miami e hija del dueño de una cadena de rotativos. Jackeline fue su amante. En los ratos que estaba junto a ella le contó lo de la revolución mexicana y de lo que ocurría en Centroamérica, a donde había ido como corresponsal viajero. Pero no solamente fue Jackeline sino otras mujeres las que compartieron el apartamento de soltero del joven dentista sudamericano.",1,Novela,REA (Corpes Siglo XXI),"Ojeda San Martín, Carlos: El coronel y su guerra. Ecuador: Pedro Jorge Vera, 2002",Ecuador,,,,,,,,,,,,,,,,,,,
818,Amiga intima,"El amigo íntimo, se constituye como un lugar de encuentro, con una menor presión de demostrar. Lo que se observa en las investigaciones desarrolladas con varones adolescentes es que en las relaciones de amistad y confianza se da un orden decreciente de intimidad, en primer lugar está el amigo o la “amiga íntimo/a” y/o la polola, luego el grupo de amigos con los que sale del carrete, va a fiestas y conversa y juega habitualmente, le sigue el grupo de pares, que son los otros jóvenes que circulan por los sectores a los que él concurre, los integrantes de su curso, de su colegio.",1,Ciencias Sociales,REA (Corpes Siglo XXI),"Olavarría, José [coord.]: Adolescentes: conversando la intimidad. Vida cotidiana, sexualidad y masculinidad. Santiago de Chile: FLACSO, 2004",Chile,,,,,,,,,,,,,,,,,,,
819,Amiga intima,"Tiempo después lo exoneraron con un pretexto, para dejar su cargo libre al subdirector de obra, un ingeniero joven de quien se dijo que el directorio estaba comprometido a «inflar» porque acababa de casarse con la hija de una actriz que era amante o “amiga íntima” de un jefe de Marina. Los técnicos y los supervisores decían que era una injusticia. Él no opinó: de aquel hombre solo podía evocar una piel como de cuero mal trabajado y la frase a los gritos lo comparaba con Gardel.",1,Novela,REA (Corpes Siglo XXI),"Fogwill, Rodolfo Enrique: En otro orden de cosas. Barcelona: Mondadori, 2001",Argentina,,,,,,,,,,,,,,,,,,,
820,Amiga intima,"La Minte me cuenta que durante los últimos años apenas ha habido movimiento. Después del incendio todos encontraron razones para no venir, para pasar el verano en otros lugares. Al primer año Virginia prefirió irse al Sur con Patricio, Sofía partió a México con una “amiga íntima” y los únicos restos que quedaron de otras vacaciones en Zapallar fueron mi padre, mi madre y la Minte. Afortunadamente, los tres estaban en la casa cuando mi padre sufrió el primer infarto.",0,Novela,REA (Corpes Siglo XXI),"Illanes, Pablo: Fragilidad. Madrid: Alfaguara, 2005",Chile,,,,,,,,,,,,,,,,,,,
821,Amiga intima,"Mi familia no me permitía salir sola ni unirme con personas de otra clase social, y yo, con la fachada de Bellas Artes, estaba conspirando. Eso costaba caro, en ese entonces aunque tuvieras 20 años tus padres podían zumbarte un buen regaño. Fui “amiga íntima” de Wifredo Lam, René Portocarrero, Mariano Rodríguez... Con esas influencias, mi formación profesional, y mi amor por las artes plásticas, habría sido pintora, pero como decimos nosotros, ""me quedé en esa"", debía dedicarle el cuerpo y el alma a la pintura o a la Revolución, y la revolucionaria Natalia Bolívar ""quemó sus naves"" y se metió en Revolución en contra de su familia. ",0,Ciencias Sociales,REA (Corpes Siglo XXI),"Rosete, Hilario: «Con Natalia Bolívar». Alma Mater. La Habana: almamater.cu, 2001-03-01",Cuba,,,,,,,,,,,,,,,,,,,
822,Amiga intima,"De la cocina llegaba, apagado, un rumor de vajilla; de la calle, la Calle Mayor de la ciudad, se colaban algunos bocinazos y gritos de vendedores. (¿Qué hago? ¿Hablo con Julia —era su “amiga íntima”, y su compinche en estrategias para encontrarse con su enamorado— y pensamos juntas? Algo debo hacer, pero no veo una salida clara. Con él va a ser mucho más difícil encontrarnos y hablar sobre esto. Estoy más custodiada que un delincuente.",0,Relato,REA (Corpes Siglo XXI),"Benavides, Washington: «Final de batalla». Amorsecos. Cuentos. Montevideo: Ediciones de la Banda Oriental, 2003",Uruguay,,,,,,,,,,,,,,,,,,,
823,Amiga intima,"El otro personaje importante a presentar es Gina, interpretada por Juliet Anderson, que hace las veces de “amiga íntima” de Barbara. Su personaje no puede ser más diferente al de Kay, una mujer madura sexualmente liberada que a las doce del mediodía está montándose tríos con su pareja y una amiga asiática. Su personaje, opuesto natural y contrapunto dialéctico al de la protagonista, también dará respiros de humor al guión. Ella tratará de animar a su buena amiga después de su ruptura matrimonial.",0,Arte y Cultura,REA (Corpes Siglo XXI),"Láser, Víctor: «Kay Parker, la madre que no nos parió». Jot Down. Madrid: jotdown.es, 2013-01-27",España,,,,,,,,,,,,,,,,,,,
824,Amiga intima,"¡Se equivocan! ¡Soy “amiga íntima” de Adolfo Giancaglini! ¡Lo conozco de la Unidad Básica 14 del Frente Popular, yo milito ahí! Soy amiga personal de él. Es amigo de mi familia, la familia Ramírez. No me hagan nada por favor. No estoy haciendo nada malo. Llámenlo a Giancaglini y pregúntenle si me conoce.",0,Guion,REA (Corpes Siglo XXI),"Wolinsky, Damián: Evita lo vigila todo. Mar de Plata: Subsecretaría de cultura, 2006",Argentina,,,,,,,,,,,,,,,,,,,
825,Amiga intima,"Esa noche duerme con K. La danesa estudia antropología con la mujer de U y aunque no es lo que se dice una “amiga íntima” (de hecho, sólo son compañeras de universidad), cuando empieza a amanecer se pone a hablar de ella, tal vez porque es la única persona que ambos conocen. Poco es lo que B saca en limpio. La información de K abunda en lugares comunes.",0,Relato,REA (Corpes Siglo XXI),"Bolaño, Roberto: «Días de 1978». Putas asesinas. Barcelona: Anagrama, 2001",Chile,,,,,,,,,,,,,,,,,,,
826,Amiga intima,"En la infancia adquirió las habilidades y las herramientas básicas, que vimos en el capítulo sobre la fragilidad; lo que sigue queda en sus manos. Sus padres ya no están constantemente a su lado para apoyarlo y orientarlo, así que debe superar los nuevos retos por sí mismo y preferiblemente en compañía de un amigo o una “amiga íntima” o de un grupo.",0,Ciencias Sociales,REA (Corpes Siglo XXI),"De Zubiría Samper, Miguel: Cómo prevenir la soledad, la depresión y el suicidio en niños y jóvenes. Un manual para que sus hijos vivan mejor. Bogotá: Aguilar, 2007",Colombia,,,,,,,,,,,,,,,,,,,
827,Amiga intima,"Tras hincarse de rodillas y besar sus zapatos, confesarle compungida que sus días no serían los mismos si no le perdonaba allí mismo y aceptaba la devolución de todos sus cuadros, pero todos, sin que quedara ni uno por ahí perdido, ni siquiera el karmeledeblás, y tras haber comenzado a llamarle Ebenezer, y las más de las veces Ebe, a secas, con la familiaridad de la que se considera más que una simple “amiga íntima”, le pidió, por favor, la mayor de las reservas, puesto que, esta vez sí, los cuadros que le traía medio en secreto eran los originales, petición que acompañó la muy ladina de un torrente irrefrenable de lágrimas entre un reguero de suspiros.",0,Novela,REA (Corpes Siglo XXI),"Bodegas, Ramón: El ciclista solitario. Madrid: Ediciones Siruela, 2004",España,,,,,,,,,,,,,,,,,,,
828,Amiga intima,"Pues en ese tremendo lío estoy metido ahora, doctora. Resulta que estuve averiguando y descubrí que Gabriela es sobrina de uno de los fundadores de la compañía, además de “amiga íntima” del actual presidente. No quiero perder un puesto de trabajo, más todavía como está la situación económica. Tengo terror de no tener un empleo para poder mantener a mi familia, pero lo que estoy viviendo es un infierno.",0,Ciencias Sociales,REA (Corpes Siglo XXI),"Polo, Ana María: Querida Dra. Polo. Doral: Aguilar, 2010",Estados Unidos,,,,,,,,,,,,,,,,,,,
